place,year,mass_g,longitude,latitude,fell_found,Include
Agua Blanca,1938,49000,-66.95,-28.91667,Found,0
Mapleton,1939,49000,-95.71667,42.18333,Found,0
Hraschina,1751,49000,16.33333,46.1,Fell,0
Thule,1955,48600,-67.55,76.53333,Found,0
Crab Orchard,1887,48500,-84.91667,35.83333,Found,0
Bear Lodge,1931,48500,-104.2,44.5,Found,0
Cabin Creek,1886,48500,-93.5,35.5,Fell,0
Bischtï¿½_be,1888,48250,62.2,51.95,Found,0
Woodbine,1953,48200,-90.1675,42.34667,Found,0
Bagnone,1904,48000,9.98333,44.31667,Found,0
Sukhoj Liman,1987,48000,30.8,46.4,Found,0
Jackalsfontein,1903,48000,21.9,-32.5,Fell,0
Dresden (Ontario),1939,47700,-82.26,42.52,Fell,0
Red Rock,1976,47600,-117.91667,35.41667,Found,0
Roy (1933),1933,47200,-104.2,35.95,Found,0
Gomez,1974,47000,-102.40139,33.18139,Found,0
Rancho de la Pila (1882),1882,46500,-104.3,24.11667,Found,0
Harrisonville,1933,46500,-94.33333,38.65,Found,0
Cuero,1936,46500,-97.28333,29.01667,Found,0
Lakewood,1955,46500,-104.35,32.62972,Found,0
Osseo,1931,46300,-80.08333,47.63333,Found,0
JaH 203,2002,46200,56.41368,19.983,Found,0
Dumas (a),1956,46050,-101.9,35.9,Found,0
Linwood,1940,46000,-96.96667,41.43333,Found,0
A-87251,1987,46000,26,-72,Found,0
Peace River,1963,45760,-117.93333,56.13333,Fell,0
Woodward County,1923,45500,-99.5,36.5,Found,0
Needles,1962,45300,-114.8325,34.44417,Found,0
Thuathe,2002,45300,27.58333,-29.33333,Fell,0
Sandia Mountains,1925,45000,-106.5,35.25,Found,0
Wellman (c),1964,45000,-102.33333,33.03333,Found,0
Vyatka,1991,45000,49,57.53333,Found,0
HaH 173,1996,45000,13.1965,28.63667,Found,0
Kyushu,1886,45000,130.63333,32.03333,Fell,0
Marjalahti,1902,45000,30.5,61.5,Fell,0
Kuttippuram,1914,45000,76.03333,10.83333,Fell,0
Dhajala,1976,45000,71.42722,22.37778,Fell,0
La Criolla,1985,45000,-58.16667,-31.23333,Fell,0
Bensour,2002,45000,-7,30,Fell,0
Dho 1433,2006,44790,54.1,18.43333,Found,0
Saginaw,1979,44500,-97.32306,32.86583,Found,0
Beenham,1937,44400,-103.65,36.21667,Found,0
Kelly,1937,44300,-103.03333,40.46667,Found,0
Rodeo,1852,44000,-104.66667,25.33333,Found,0
Dix,1927,44000,-103.48333,41.23333,Found,0
Ust-Nyukzha,1992,44000,120.46667,56.38333,Found,0
DaG 610,1998,44000,16.73333,26.85,Found,0
Horh Uul,2001,44000,104.16667,43.25,Found,0
Barwell,1965,44000,-1.33972,52.56528,Fell,0
Seminole,1961,43900,-102.61667,32.68333,Found,0
Dho 1288,2004,43600,54.285,18.27833,Found,0
SaU 270,2003,43508,57.189,20.72918,Found,0
Staunton,1869,43500,-79.05,38.21667,Found,0
Tombigbee River,1859,43000,-88.2,32.23333,Found,0
Chilkoot,1881,43000,-136,59.33333,Found,0
Aggie Creek,1942,43000,-163.16667,64.88333,Found,0
A-881756,1988,43000,26,-72,Found,0
Lixian,2005,43000,111.59833,29.85167,Found,0
